,Student_Number,AI_Condition,Group,Outcome,Score,Task,avg_z
1691,e0a9f0ffff131843,GPT 01,C,Professionalism,6.0,P2,1.1933948630685225
1692,b0eea11d8aa104e7,GPT 01,C,Professionalism,4.0,P2,-0.6140533738497499
1693,22eaed27a6a72a3c,GPT 01,C,Professionalism,2.0,P2,0.2787777991943025
1694,bf1a26353df9965e,No AI,B,Professionalism,3.0,P2,-0.25378466253108667
1695,09c545b24ffb476e,Vincent,A,Professionalism,3.0,P2,0.7505164853473411
1696,a40efe211e46e49a,Vincent,A,Professionalism,4.0,P2,0.06348153638714865
1697,7384d11c263ac7d9,Vincent,A,Professionalism,5.0,P2,0.25960200071382916
1698,9e2e00fa7c285ff5,GPT 01,C,Professionalism,4.0,P2,-0.8899831386873962
1699,eab55a7284651fe8,GPT 01,C,Professionalism,4.0,P2,0.5364493532610568
1700,fc7f934bbaf5bcc5,GPT 01,C,Professionalism,5.0,P2,-0.14219182053103688
1701,eb6be2f6ae0e29b1,GPT 01,C,Professionalism,4.0,P2,-0.12761624243804898
1702,98bd1346a5fce77b,No AI,B,Professionalism,5.0,P2,0.6546201325932769
1703,c1f9916910cd4128,GPT 01,C,Productivity,18.999999999999982,P2,-0.13134398853872298
1704,7316aefcd59a0b74,Vincent,A,Productivity,76.98113207547168,P2,-0.6013533673255389
1705,1167a8417b14a001,Vincent,A,Productivity,108.57142857142857,P2,0.9133368818027643
1706,5eb1b92aee244e2a,Vincent,A,Productivity,18.947368421052623,P2,0.18435513761480438
1707,065a189f3e847a38,Vincent,A,Productivity,15.0,P2,0.3903489769316162
1708,1777a66aff697497,GPT 01,C,Productivity,27.0,P2,-0.1821908087093267
1709,6ec4e59da50d8f3a,No AI,B,Productivity,31.999999999999993,P2,-0.25312636184743775
1710,4fdc1cc6f372410e,Vincent,A,Productivity,23.384615384615376,P2,0.3570489090603589
1711,ddbc5bb6018f9e0f,GPT 01,C,Productivity,43.07692307692308,P2,-0.7374426781755852
1712,1bcba07e11b7af99,No AI,B,Productivity,38.11764705882353,P2,0.6579116360115216
1713,4c56c0d8e61ed412,GPT 01,C,Productivity,22.75862068965516,P2,1.1571236209909068
1714,3d53c1b0295b9a26,Vincent,A,Productivity,33.999999999999986,P2,-0.06726543983063839
1715,544af5e3f23bd87a,No AI,B,Productivity,21.087866108786592,P2,0.8347211699773922
1716,ad4e0a23d55a9bc2,GPT 01,C,Productivity,48.0,P2,-0.24015771477157025
1717,9109b13b11fd7782,Vincent,A,Productivity,26.80203045685279,P2,0.18312848998118322
1718,6a370e860ed24357,GPT 01,C,Productivity,24.533333333333328,P2,0.9611918325098401
1719,13b6a1020ad46272,No AI,B,Productivity,12.0,P2,-1.9769230803276874
1720,7c4f2cdf9a7ba025,No AI,B,Productivity,12.0,P2,-1.7038091711750942
1721,e0586dd6ba414274,Vincent,A,Productivity,25.99999999999999,P2,0.06348153638714865
1722,7e107a9c0ebdc482,GPT 01,C,Productivity,42.181818181818166,P2,1.6398330063019337
1723,2bfdab79d93e7bce,No AI,B,Productivity,18.947368421052623,P2,-0.7960626767343792
1724,889b30f2a988ff0a,No AI,B,Productivity,25.396825396825392,P2,0.02064584798880434
1725,efbfc0f029c0ac5f,GPT 01,C,Productivity,26.526315789473664,P2,-0.11304066434506099
1726,1532b47abfa256d4,No AI,B,Productivity,25.57377049180327,P2,-0.7069996090677951
1727,824bb66524753233,GPT 01,C,Productivity,30.0,P2,-1.4198115980683528
1728,f89651d646f1ab95,Vincent,A,Productivity,21.999999999999986,P2,0.5210959531494033
1729,02a6298460b477ce,No AI,B,Productivity,28.070175438596472,P2,0.47254419315821483
1730,3b79cd5d4dc9545c,GPT 01,C,Productivity,39.633027522935784,P2,-0.26558112485687213
1731,81703482b559611e,No AI,B,Productivity,21.951219512195113,P2,0.017354344570559593
1732,8b3794f02b5e4db5,GPT 01,C,Productivity,24.672897196261683,P2,-0.3272757770197897
1733,79d436c6314eda33,Vincent,A,Productivity,11.199999999999983,P2,-0.35095943751371733
1734,9be12b158467797d,GPT 01,C,Productivity,54.0,P2,-0.16761523061633873
1735,820ef4cb24626154,No AI,B,Productivity,31.5,P2,0.5635821628757459
1736,b342e13cf1dcabea,GPT 01,C,Productivity,24.347826086956513,P2,-0.4181215853686832
1737,bfd51df7115d0bee,No AI,B,Productivity,38.709677419354826,P2,0.4758356965764596
1738,60f4a10cf0e76952,Vincent,A,Productivity,27.610619469026545,P2,0.8923634841888806
1739,f7b9fdfc04c988ab,Vincent,A,Productivity,53.33333333333333,P2,-0.8529739447709817
1740,446f96dc3003002c,Vincent,A,Productivity,29.518716577540104,P2,0.8479633936938707
1741,d2aff30970fe0d4c,GPT 01,C,Productivity,15.600000000000001,P2,-0.38557808939174154
1742,7f1b0f735e644984,No AI,B,Productivity,24.20168067226889,P2,1.0174554100961033
1743,742df284c8614f30,GPT 01,C,Productivity,30.315789473684205,P2,-1.1404894934397407
1744,9ee9f3b5b5934e01,No AI,B,Productivity,9.999999999999984,P2,-1.2512525253220346
1745,af90ee0cf16ffd33,GPT 01,C,Productivity,39.71223021582732,P2,-0.3018523669344879
1746,ce5032424903d61d,No AI,B,Productivity,15.600000000000001,P2,-0.43586060196614884
1747,1d27419a27bc132a,No AI,B,Productivity,20.093023255813943,P2,-0.25180976048013987
1748,68c3cbbda9ab9909,No AI,B,Productivity,19.999999999999993,P2,-0.250493159112842
1749,475d59d3b81d4bac,Vincent,A,Productivity,20.26666666666666,P2,-0.524879856592893
1750,dd5b4506ccb8edff,No AI,B,Productivity,33.6,P2,0.29244315577409963
1751,2cd520fd07667404,No AI,B,Productivity,37.99999999999999,P2,0.8334045686100943
1752,e5515ac0c0f126c6,Vincent,A,Productivity,39.18367346938774,P2,-0.2300858362860616
1753,7eb33ecb29043786,No AI,B,Productivity,30.967741935483865,P2,0.7436832002598611
1754,7d228f6d656337bb,No AI,B,Productivity,47.54716981132075,P2,0.3828228248079817
1755,cdb181d570ee13d8,Vincent,A,Productivity,33.88235294117647,P2,0.24972862572369792
1756,e58dc153e9c0e8e4,GPT 01,C,Productivity,33.23076923076922,P2,-0.7520182562685731
1757,f719e16be770c0b8,Vincent,A,Productivity,14.666666666666664,P2,0.04250813877326487
1758,43f61b7cd08cc6c4,GPT 01,C,Productivity,34.28571428571427,P2,1.1679714529832208
1759,078cae7e345937f3,Vincent,A,Productivity,12.999999999999984,P2,0.5432959983969081
1760,8a1109561512c218,GPT 01,C,Productivity,20.11976047904191,P2,-0.4289694173609971
1761,f418aa093c4203e9,Vincent,A,Productivity,13.608247422680401,P2,-0.8517472971373605
1762,2657ee4bf9f4af9e,No AI,B,Productivity,20.57142857142857,P2,0.6519869298586811
1763,aa1baebc4a1d7593,GPT 01,C,Productivity,37.33333333333332,P2,0.4384834590205234
1764,191cebe1180b87c5,No AI,B,Productivity,7.999999999999991,P2,-1.2525691266893324
1765,66f7ab8e6000f22a,Vincent,A,Productivity,24.20168067226889,P2,-0.6124533899492913
1766,61cf76867144f7f2,GPT 01,C,Productivity,31.724137931034477,P2,0.22424834634579466
1767,8a8a16cd60695e63,GPT 01,C,Productivity,26.05714285714284,P2,0.8703460241609466
1768,8917388e20196b3b,Vincent,A,Productivity,122.66666666666666,P2,1.0231104604066676
1769,8b9bdb0a143ba05b,GPT 01,C,Productivity,27.042253521126746,P2,-1.3255734499284935
1770,97fba5cb44daf59a,Vincent,A,Productivity,38.4,P2,-0.38425950538497466
1771,8873cf8f31074e16,Vincent,A,Productivity,47.54716981132075,P2,-0.9837209209887687
1772,430c3b797887e240,Vincent,A,Productivity,39.999999999999986,P2,-2.8487053035426655
1773,33801e2d42ffddfc,Vincent,A,Productivity,24.533333333333328,P2,0.06348153638714865
1774,7dd7e803832f1b53,No AI,B,Productivity,20.869565217391298,P2,0.01801264525420855
1775,8e8ec402ff41e278,Vincent,A,Productivity,43.5,P2,0.3903489769316162
1776,29041031c3d5738c,GPT 01,C,Productivity,41.31147540983606,P2,-1.045915938990173
1777,1f60b1ad89313d0d,No AI,B,Productivity,38.11764705882353,P2,1.5617083263503426
1778,421124a6a4ec2792,No AI,B,Productivity,6.999999999999984,P2,-1.5243664344746277
1779,26f3d54698dd2636,No AI,B,Productivity,19.999999999999993,P2,-0.7023915042822525
1780,f3e93859c85d9caf,Vincent,A,Productivity,61.090909090909086,P2,-0.8739473423848654
1781,7fb6a95e77f2886e,Vincent,A,Productivity,39.272727272727266,P2,-0.0339653719593811
1782,069503ef9c782673,No AI,B,Productivity,24.0,P2,0.8353794706610411
1783,4145e4dd01e45431,Vincent,A,Productivity,43.63636363636363,P2,0.23740195546632428
1784,a6a04fd22939f38a,No AI,B,Productivity,17.599999999999994,P2,-1.4313535627061498
1785,237698639e9c4d30,Vincent,A,Productivity,15.999999999999982,P2,0.5864694412582967
1786,2da3540d563c6034,Vincent,A,Productivity,75.99999999999999,P2,0.7825899055849773
1787,f9afd8e31ee8a875,Vincent,A,Productivity,45.999999999999986,P2,-0.44963299349386815
1788,e08dd06e4e008462,GPT 01,C,Productivity,75.99999999999999,P2,-0.06592159027513134
1789,5e4dc1276a5cbfd1,GPT 01,C,Productivity,85.42372881355932,P2,-0.07676942226744521
1790,de22252a67fcc399,GPT 01,C,Productivity,25.47486033519552,P2,1.3567831555726477
1791,c93c749489f4cc74,Vincent,A,Productivity,38.709677419354826,P2,0.7061163948523312
1792,63f3737ed386432b,No AI,B,Productivity,26.4,P2,1.3776574848643337
1793,22357cb4b713c556,Vincent,A,Productivity,101.33333333333333,P2,-0.2535125291671876
1794,632e8584adc40b35,GPT 01,C,Productivity,46.95652173913044,P2,0.18797710426817896
1795,b066caa360c869a0,Vincent,A,Productivity,16.999999999999993,P2,-0.3287593922662124
1796,eb817297c2e6d83a,GPT 01,C,Productivity,34.999999999999986,P2,1.0337343166650717
1797,17a215d736ecc60d,No AI,B,Productivity,34.93670886075948,P2,1.0167971094124544
1798,69d5d27764fbbaac,No AI,B,Productivity,24.950495049504937,P2,0.8347211699773922
1799,3088c17c41bb79cf,Vincent,A,Productivity,31.242603550295858,P2,-1.0046943186026525
1800,8c09cd568a2f07d6,No AI,B,Productivity,12.631578947368416,P2,-1.164164359706397
1801,8944194b2121b319,No AI,B,Productivity,11.636363636363617,P2,-0.3487724363505114
1802,75bfae39ea7d8d5b,No AI,B,Productivity,32.87671232876712,P2,0.6533035312259791
1803,17ca821110ac1fa2,GPT 01,C,Productivity,24.0,P2,0.24967175643109654
1804,422317341c3e815e,No AI,B,Productivity,18.0,P2,-0.5229487675817861
1805,e74d00befb08510a,No AI,B,Productivity,16.999999999999993,P2,-0.3428477301976709
1806,d64f01781e54567f,No AI,B,Productivity,19.999999999999993,P2,0.38216452412433277
1807,0fa325208d547822,No AI,B,Productivity,48.0,P2,0.6519869298586811
1808,d1082f98da60718d,No AI,B,Productivity,17.142857142857135,P2,-0.7056830077004972
1809,f91d96f422d5707e,Vincent,A,Productivity,26.181818181818162,P2,-0.35095943751371733
1810,05c223da1342eb22,No AI,B,Productivity,18.54545454545453,P2,0.3801896220733859
1811,15947270bb099c07,Vincent,A,Productivity,30.399999999999984,P2,0.7825899055849773
1812,eb0657499c70202f,Vincent,A,Productivity,36.92307692307691,P2,0.4988959079018984
1813,0534f6d47f4a21f6,GPT 01,C,Productivity,26.268656716417897,P2,0.8811938561532605
1814,11d471df43205dfb,GPT 01,C,Productivity,21.073170731707297,P2,-0.5523587216868323
1815,e0a9f0ffff131843,GPT 01,C,Productivity,88.76712328767123,P2,1.1933948630685225
1816,b0eea11d8aa104e7,GPT 01,C,Productivity,12.0,P2,-0.6140533738497499
1817,22eaed27a6a72a3c,GPT 01,C,Productivity,13.714285714285705,P2,0.2787777991943025
1818,bf1a26353df9965e,No AI,B,Productivity,19.67213114754096,P2,-0.25378466253108667
1819,09c545b24ffb476e,Vincent,A,Productivity,21.33333333333331,P2,0.7505164853473411
1820,a40efe211e46e49a,Vincent,A,Productivity,33.0275229357798,P2,0.06348153638714865
1821,7384d11c263ac7d9,Vincent,A,Productivity,24.516129032258064,P2,0.25960200071382916
1822,9e2e00fa7c285ff5,GPT 01,C,Productivity,115.19999999999999,P2,-0.8899831386873962
1823,eab55a7284651fe8,GPT 01,C,Productivity,163.20000000000002,P2,0.5364493532610568
1824,fc7f934bbaf5bcc5,GPT 01,C,Productivity,42.926829268292664,P2,-0.14219182053103688
1825,eb6be2f6ae0e29b1,GPT 01,C,Productivity,90.66666666666666,P2,-0.12761624243804898
1826,98bd1346a5fce77b,No AI,B,Productivity,31.999999999999993,P2,0.6546201325932769
1827,c1f9916910cd4128,GPT 01,C,Time_Spent,1.0,P2,-0.13134398853872298
1828,7316aefcd59a0b74,Vincent,A,Time_Spent,0.22083333333333333,P2,-0.6013533673255389
1829,1167a8417b14a001,Vincent,A,Time_Spent,0.175,P2,0.9133368818027643
1830,5eb1b92aee244e2a,Vincent,A,Time_Spent,0.7916666666666666,P2,0.18435513761480438
1831,065a189f3e847a38,Vincent,A,Time_Spent,1.0,P2,0.3903489769316162
1832,1777a66aff697497,GPT 01,C,Time_Spent,1.0,P2,-0.1821908087093267
1833,6ec4e59da50d8f3a,No AI,B,Time_Spent,0.5,P2,-0.25312636184743775
1834,4fdc1cc6f372410e,Vincent,A,Time_Spent,0.8125,P2,0.3570489090603589
1835,ddbc5bb6018f9e0f,GPT 01,C,Time_Spent,0.4875,P2,-0.7374426781755852
1836,1bcba07e11b7af99,No AI,B,Time_Spent,0.7083333333333334,P2,0.6579116360115216
1837,4c56c0d8e61ed412,GPT 01,C,Time_Spent,0.9666666666666667,P2,1.1571236209909068
1838,3d53c1b0295b9a26,Vincent,A,Time_Spent,0.5,P2,-0.06726543983063839
1839,544af5e3f23bd87a,No AI,B,Time_Spent,0.9958333333333333,P2,0.8347211699773922
1840,ad4e0a23d55a9bc2,GPT 01,C,Time_Spent,0.3958333333333333,P2,-0.24015771477157025
1841,9109b13b11fd7782,Vincent,A,Time_Spent,0.8208333333333333,P2,0.18312848998118322
1842,6a370e860ed24357,GPT 01,C,Time_Spent,0.9375,P2,0.9611918325098401
1843,13b6a1020ad46272,No AI,B,Time_Spent,0.5,P2,-1.9769230803276874
1844,7c4f2cdf9a7ba025,No AI,B,Time_Spent,0.75,P2,-1.7038091711750942
1845,e0586dd6ba414274,Vincent,A,Time_Spent,1.0,P2,0.06348153638714865
1846,7e107a9c0ebdc482,GPT 01,C,Time_Spent,0.6875,P2,1.6398330063019337
1847,2bfdab79d93e7bce,No AI,B,Time_Spent,0.7916666666666666,P2,-0.7960626767343792
1848,889b30f2a988ff0a,No AI,B,Time_Spent,0.7875,P2,0.02064584798880434
1849,efbfc0f029c0ac5f,GPT 01,C,Time_Spent,0.7916666666666666,P2,-0.11304066434506099
1850,1532b47abfa256d4,No AI,B,Time_Spent,0.5083333333333333,P2,-0.7069996090677951
1851,824bb66524753233,GPT 01,C,Time_Spent,1.0,P2,-1.4198115980683528
1852,f89651d646f1ab95,Vincent,A,Time_Spent,1.0,P2,0.5210959531494033
1853,02a6298460b477ce,No AI,B,Time_Spent,0.7125,P2,0.47254419315821483
1854,3b79cd5d4dc9545c,GPT 01,C,Time_Spent,0.45416666666666666,P2,-0.26558112485687213
1855,81703482b559611e,No AI,B,Time_Spent,0.6833333333333333,P2,0.017354344570559593
1856,8b3794f02b5e4db5,GPT 01,C,Time_Spent,0.8916666666666667,P2,-0.3272757770197897
1857,79d436c6314eda33,Vincent,A,Time_Spent,0.625,P2,-0.35095943751371733
1858,9be12b158467797d,GPT 01,C,Time_Spent,0.5,P2,-0.16761523061633873
1859,820ef4cb24626154,No AI,B,Time_Spent,0.6666666666666666,P2,0.5635821628757459
1860,b342e13cf1dcabea,GPT 01,C,Time_Spent,0.8625,P2,-0.4181215853686832
1861,bfd51df7115d0bee,No AI,B,Time_Spent,0.6458333333333334,P2,0.4758356965764596
1862,60f4a10cf0e76952,Vincent,A,Time_Spent,0.4708333333333333,P2,0.8923634841888806
1863,f7b9fdfc04c988ab,Vincent,A,Time_Spent,0.5625,P2,-0.8529739447709817
1864,446f96dc3003002c,Vincent,A,Time_Spent,0.7791666666666667,P2,0.8479633936938707
1865,d2aff30970fe0d4c,GPT 01,C,Time_Spent,0.8333333333333334,P2,-0.38557808939174154
1866,7f1b0f735e644984,No AI,B,Time_Spent,0.9916666666666667,P2,1.0174554100961033
1867,742df284c8614f30,GPT 01,C,Time_Spent,0.7916666666666666,P2,-1.1404894934397407
1868,9ee9f3b5b5934e01,No AI,B,Time_Spent,1.0,P2,-1.2512525253220346
1869,af90ee0cf16ffd33,GPT 01,C,Time_Spent,0.5791666666666667,P2,-0.3018523669344879
1870,ce5032424903d61d,No AI,B,Time_Spent,0.8333333333333334,P2,-0.43586060196614884
1871,1d27419a27bc132a,No AI,B,Time_Spent,0.8958333333333334,P2,-0.25180976048013987
1872,68c3cbbda9ab9909,No AI,B,Time_Spent,1.0,P2,-0.250493159112842
1873,475d59d3b81d4bac,Vincent,A,Time_Spent,0.9375,P2,-0.524879856592893
1874,dd5b4506ccb8edff,No AI,B,Time_Spent,0.625,P2,0.29244315577409963
1875,2cd520fd07667404,No AI,B,Time_Spent,0.5,P2,0.8334045686100943
1876,e5515ac0c0f126c6,Vincent,A,Time_Spent,0.4083333333333333,P2,-0.2300858362860616
1877,7eb33ecb29043786,No AI,B,Time_Spent,0.6458333333333334,P2,0.7436832002598611
1878,7d228f6d656337bb,No AI,B,Time_Spent,0.44166666666666665,P2,0.3828228248079817
1879,cdb181d570ee13d8,Vincent,A,Time_Spent,0.7083333333333334,P2,0.24972862572369792
1880,e58dc153e9c0e8e4,GPT 01,C,Time_Spent,0.8125,P2,-0.7520182562685731
1881,f719e16be770c0b8,Vincent,A,Time_Spent,0.75,P2,0.04250813877326487
1882,43f61b7cd08cc6c4,GPT 01,C,Time_Spent,0.7875,P2,1.1679714529832208
1883,078cae7e345937f3,Vincent,A,Time_Spent,1.0,P2,0.5432959983969081
1884,8a1109561512c218,GPT 01,C,Time_Spent,0.6958333333333333,P2,-0.4289694173609971
1885,f418aa093c4203e9,Vincent,A,Time_Spent,0.8083333333333333,P2,-0.8517472971373605
1886,2657ee4bf9f4af9e,No AI,B,Time_Spent,0.875,P2,0.6519869298586811
1887,aa1baebc4a1d7593,GPT 01,C,Time_Spent,0.75,P2,0.4384834590205234
1888,191cebe1180b87c5,No AI,B,Time_Spent,1.0,P2,-1.2525691266893324
1889,66f7ab8e6000f22a,Vincent,A,Time_Spent,0.9916666666666667,P2,-0.6124533899492913
1890,61cf76867144f7f2,GPT 01,C,Time_Spent,0.725,P2,0.22424834634579466
1891,8a8a16cd60695e63,GPT 01,C,Time_Spent,0.7291666666666666,P2,0.8703460241609466
1892,8917388e20196b3b,Vincent,A,Time_Spent,0.1875,P2,1.0231104604066676
1893,8b9bdb0a143ba05b,GPT 01,C,Time_Spent,0.5916666666666667,P2,-1.3255734499284935
1894,97fba5cb44daf59a,Vincent,A,Time_Spent,0.5208333333333334,P2,-0.38425950538497466
1895,8873cf8f31074e16,Vincent,A,Time_Spent,0.44166666666666665,P2,-0.9837209209887687
1896,430c3b797887e240,Vincent,A,Time_Spent,0.5,P2,-2.8487053035426655
1897,33801e2d42ffddfc,Vincent,A,Time_Spent,0.9375,P2,0.06348153638714865
1898,7dd7e803832f1b53,No AI,B,Time_Spent,0.7666666666666667,P2,0.01801264525420855
1899,8e8ec402ff41e278,Vincent,A,Time_Spent,0.6666666666666666,P2,0.3903489769316162
1900,29041031c3d5738c,GPT 01,C,Time_Spent,0.5083333333333333,P2,-1.045915938990173
1901,1f60b1ad89313d0d,No AI,B,Time_Spent,0.7083333333333334,P2,1.5617083263503426
1902,421124a6a4ec2792,No AI,B,Time_Spent,1.0,P2,-1.5243664344746277
1903,26f3d54698dd2636,No AI,B,Time_Spent,1.0,P2,-0.7023915042822525
1904,f3e93859c85d9caf,Vincent,A,Time_Spent,0.22916666666666666,P2,-0.8739473423848654
1905,7fb6a95e77f2886e,Vincent,A,Time_Spent,0.4583333333333333,P2,-0.0339653719593811
1906,069503ef9c782673,No AI,B,Time_Spent,0.9166666666666666,P2,0.8353794706610411
1907,4145e4dd01e45431,Vincent,A,Time_Spent,0.5958333333333333,P2,0.23740195546632428
1908,a6a04fd22939f38a,No AI,B,Time_Spent,0.625,P2,-1.4313535627061498
1909,237698639e9c4d30,Vincent,A,Time_Spent,0.6875,P2,0.5864694412582967
1910,2da3540d563c6034,Vincent,A,Time_Spent,0.25,P2,0.7825899055849773
1911,f9afd8e31ee8a875,Vincent,A,Time_Spent,0.5,P2,-0.44963299349386815
1912,e08dd06e4e008462,GPT 01,C,Time_Spent,0.25,P2,-0.06592159027513134
1913,5e4dc1276a5cbfd1,GPT 01,C,Time_Spent,0.24583333333333332,P2,-0.07676942226744521
1914,de22252a67fcc399,GPT 01,C,Time_Spent,0.7458333333333333,P2,1.3567831555726477
1915,c93c749489f4cc74,Vincent,A,Time_Spent,0.775,P2,0.7061163948523312
1916,63f3737ed386432b,No AI,B,Time_Spent,0.8333333333333334,P2,1.3776574848643337
1917,22357cb4b713c556,Vincent,A,Time_Spent,0.1875,P2,-0.2535125291671876
1918,632e8584adc40b35,GPT 01,C,Time_Spent,0.38333333333333336,P2,0.18797710426817896
1919,b066caa360c869a0,Vincent,A,Time_Spent,1.0,P2,-0.3287593922662124
1920,eb817297c2e6d83a,GPT 01,C,Time_Spent,0.6,P2,1.0337343166650717
1921,17a215d736ecc60d,No AI,B,Time_Spent,0.6583333333333333,P2,1.0167971094124544
1922,69d5d27764fbbaac,No AI,B,Time_Spent,0.8416666666666667,P2,0.8347211699773922
1923,3088c17c41bb79cf,Vincent,A,Time_Spent,0.7041666666666667,P2,-1.0046943186026525
1924,8c09cd568a2f07d6,No AI,B,Time_Spent,0.3958333333333333,P2,-1.164164359706397
1925,8944194b2121b319,No AI,B,Time_Spent,0.6875,P2,-0.3487724363505114
1926,75bfae39ea7d8d5b,No AI,B,Time_Spent,0.6083333333333333,P2,0.6533035312259791
1927,17ca821110ac1fa2,GPT 01,C,Time_Spent,1.0,P2,0.24967175643109654
1928,422317341c3e815e,No AI,B,Time_Spent,1.0,P2,-0.5229487675817861
1929,e74d00befb08510a,No AI,B,Time_Spent,1.0,P2,-0.3428477301976709
1930,d64f01781e54567f,No AI,B,Time_Spent,1.0,P2,0.38216452412433277
1931,0fa325208d547822,No AI,B,Time_Spent,0.375,P2,0.6519869298586811
1932,d1082f98da60718d,No AI,B,Time_Spent,0.875,P2,-0.7056830077004972
1933,f91d96f422d5707e,Vincent,A,Time_Spent,0.6875,P2,-0.35095943751371733
1934,05c223da1342eb22,No AI,B,Time_Spent,0.9166666666666666,P2,0.3801896220733859
1935,15947270bb099c07,Vincent,A,Time_Spent,0.625,P2,0.7825899055849773
1936,eb0657499c70202f,Vincent,A,Time_Spent,0.65,P2,0.4988959079018984
1937,0534f6d47f4a21f6,GPT 01,C,Time_Spent,0.8375,P2,0.8811938561532605
1938,11d471df43205dfb,GPT 01,C,Time_Spent,0.8541666666666666,P2,-0.5523587216868323
1939,e0a9f0ffff131843,GPT 01,C,Time_Spent,0.30416666666666664,P2,1.1933948630685225
1940,b0eea11d8aa104e7,GPT 01,C,Time_Spent,1.0,P2,-0.6140533738497499
1941,22eaed27a6a72a3c,GPT 01,C,Time_Spent,0.875,P2,0.2787777991943025
1942,bf1a26353df9965e,No AI,B,Time_Spent,0.7625,P2,-0.25378466253108667
1943,09c545b24ffb476e,Vincent,A,Time_Spent,0.75,P2,0.7505164853473411
1944,a40efe211e46e49a,Vincent,A,Time_Spent,0.45416666666666666,P2,0.06348153638714865
1945,7384d11c263ac7d9,Vincent,A,Time_Spent,0.775,P2,0.25960200071382916
1946,9e2e00fa7c285ff5,GPT 01,C,Time_Spent,0.10416666666666667,P2,-0.8899831386873962
1947,eab55a7284651fe8,GPT 01,C,Time_Spent,0.10416666666666667,P2,0.5364493532610568
1948,fc7f934bbaf5bcc5,GPT 01,C,Time_Spent,0.5125,P2,-0.14219182053103688
1949,eb6be2f6ae0e29b1,GPT 01,C,Time_Spent,0.1875,P2,-0.12761624243804898
1950,98bd1346a5fce77b,No AI,B,Time_Spent,0.6875,P2,0.6546201325932769
1951,c1f9916910cd4128,GPT 01,C,Total_Score,19.0,P2,-0.13134398853872298
1952,7316aefcd59a0b74,Vincent,A,Total_Score,17.0,P2,-0.6013533673255389
1953,1167a8417b14a001,Vincent,A,Total_Score,19.0,P2,0.9133368818027643
1954,ec2ed9ca82601e42,Vincent,A,Total_Score,16.0,P2,
1955,5eb1b92aee244e2a,Vincent,A,Total_Score,15.0,P2,0.18435513761480438
1956,065a189f3e847a38,Vincent,A,Total_Score,15.0,P2,0.3903489769316162
1957,1777a66aff697497,GPT 01,C,Total_Score,27.0,P2,-0.1821908087093267
1958,6ec4e59da50d8f3a,No AI,B,Total_Score,16.0,P2,-0.25312636184743775
1959,4fdc1cc6f372410e,Vincent,A,Total_Score,19.0,P2,0.3570489090603589
1960,ddbc5bb6018f9e0f,GPT 01,C,Total_Score,21.0,P2,-0.7374426781755852
1961,1bcba07e11b7af99,No AI,B,Total_Score,27.0,P2,0.6579116360115216
1962,4c56c0d8e61ed412,GPT 01,C,Total_Score,22.0,P2,1.1571236209909068
1963,3d53c1b0295b9a26,Vincent,A,Total_Score,17.0,P2,-0.06726543983063839
1964,544af5e3f23bd87a,No AI,B,Total_Score,21.0,P2,0.8347211699773922
1965,ad4e0a23d55a9bc2,GPT 01,C,Total_Score,19.0,P2,-0.24015771477157025
1966,9109b13b11fd7782,Vincent,A,Total_Score,22.0,P2,0.18312848998118322
1967,6a370e860ed24357,GPT 01,C,Total_Score,23.0,P2,0.9611918325098401
1968,13b6a1020ad46272,No AI,B,Total_Score,6.0,P2,-1.9769230803276874
1969,7c4f2cdf9a7ba025,No AI,B,Total_Score,9.0,P2,-1.7038091711750942
1970,e0586dd6ba414274,Vincent,A,Total_Score,26.0,P2,0.06348153638714865
1971,7e107a9c0ebdc482,GPT 01,C,Total_Score,29.0,P2,1.6398330063019337
1972,2bfdab79d93e7bce,No AI,B,Total_Score,15.0,P2,-0.7960626767343792
1973,889b30f2a988ff0a,No AI,B,Total_Score,20.0,P2,0.02064584798880434
1974,efbfc0f029c0ac5f,GPT 01,C,Total_Score,21.0,P2,-0.11304066434506099
1975,1532b47abfa256d4,No AI,B,Total_Score,13.0,P2,-0.7069996090677951
1976,824bb66524753233,GPT 01,C,Total_Score,30.0,P2,-1.4198115980683528
1977,f89651d646f1ab95,Vincent,A,Total_Score,22.0,P2,0.5210959531494033
1978,02a6298460b477ce,No AI,B,Total_Score,20.0,P2,0.47254419315821483
1979,3b79cd5d4dc9545c,GPT 01,C,Total_Score,18.0,P2,-0.26558112485687213
1980,81703482b559611e,No AI,B,Total_Score,15.0,P2,0.017354344570559593
1981,8b3794f02b5e4db5,GPT 01,C,Total_Score,22.0,P2,-0.3272757770197897
1982,79d436c6314eda33,Vincent,A,Total_Score,7.0,P2,-0.35095943751371733
1983,9be12b158467797d,GPT 01,C,Total_Score,27.0,P2,-0.16761523061633873
1984,820ef4cb24626154,No AI,B,Total_Score,21.0,P2,0.5635821628757459
1985,b342e13cf1dcabea,GPT 01,C,Total_Score,21.0,P2,-0.4181215853686832
1986,bfd51df7115d0bee,No AI,B,Total_Score,25.0,P2,0.4758356965764596
1987,60f4a10cf0e76952,Vincent,A,Total_Score,13.0,P2,0.8923634841888806
1988,f7b9fdfc04c988ab,Vincent,A,Total_Score,30.0,P2,-0.8529739447709817
1989,446f96dc3003002c,Vincent,A,Total_Score,23.0,P2,0.8479633936938707
1990,d2aff30970fe0d4c,GPT 01,C,Total_Score,13.0,P2,-0.38557808939174154
