,Student_Number,AI_Condition,Group,Outcome,Score,Task,avg_z
74,8b9bdb0a143ba05b,Vincent,C,Accuracy,1.0,P1,-1.3255734499284935
75,97fba5cb44daf59a,No AI,A,Accuracy,4.0,P1,-0.38425950538497466
76,8873cf8f31074e16,No AI,A,Accuracy,3.0,P1,-0.9837209209887687
77,724b54dabebd5f65,No AI,A,Accuracy,4.0,P1,0.2169211196340559
78,4b83c41e5327c306,GPT 01,B,Accuracy,2.0,P1,
79,430c3b797887e240,No AI,A,Accuracy,1.0,P1,-2.8487053035426655
80,33801e2d42ffddfc,No AI,A,Accuracy,2.0,P1,0.06348153638714865
81,7dd7e803832f1b53,GPT 01,B,Accuracy,1.0,P1,0.01801264525420855
82,8e8ec402ff41e278,No AI,A,Accuracy,3.0,P1,0.3903489769316162
83,29041031c3d5738c,Vincent,C,Accuracy,4.0,P1,-1.045915938990173
84,1f60b1ad89313d0d,GPT 01,B,Accuracy,3.0,P1,1.5617083263503426
85,421124a6a4ec2792,GPT 01,B,Accuracy,2.0,P1,-1.5243664344746277
86,26f3d54698dd2636,GPT 01,B,Accuracy,2.0,P1,-0.7023915042822525
87,f3e93859c85d9caf,No AI,A,Accuracy,1.0,P1,-0.8739473423848654
88,7fb6a95e77f2886e,No AI,A,Accuracy,2.0,P1,-0.0339653719593811
89,069503ef9c782673,GPT 01,B,Accuracy,3.0,P1,0.8353794706610411
90,4145e4dd01e45431,No AI,A,Accuracy,4.0,P1,0.23740195546632428
91,a6a04fd22939f38a,GPT 01,B,Accuracy,2.0,P1,-1.4313535627061498
92,237698639e9c4d30,No AI,A,Accuracy,4.0,P1,0.5864694412582967
93,2da3540d563c6034,No AI,A,Accuracy,5.0,P1,0.7825899055849773
94,70204533c2ea64a7,Vincent,C,Accuracy,3.0,P1,
95,f9afd8e31ee8a875,No AI,A,Accuracy,3.0,P1,-0.44963299349386815
96,e08dd06e4e008462,Vincent,C,Accuracy,2.0,P1,-0.06592159027513134
97,5e4dc1276a5cbfd1,Vincent,C,Accuracy,1.0,P1,-0.07676942226744521
98,de22252a67fcc399,Vincent,C,Accuracy,4.0,P1,1.3567831555726477
99,c93c749489f4cc74,No AI,A,Accuracy,6.0,P1,0.7061163948523312
100,63f3737ed386432b,GPT 01,B,Accuracy,4.0,P1,1.3776574848643337
101,22357cb4b713c556,No AI,A,Accuracy,5.0,P1,-0.2535125291671876
102,632e8584adc40b35,Vincent,C,Accuracy,3.0,P1,0.18797710426817896
103,b066caa360c869a0,No AI,A,Accuracy,1.0,P1,-0.3287593922662124
104,eb817297c2e6d83a,Vincent,C,Accuracy,6.0,P1,1.0337343166650717
105,17a215d736ecc60d,GPT 01,B,Accuracy,2.0,P1,1.0167971094124544
106,69d5d27764fbbaac,GPT 01,B,Accuracy,5.0,P1,0.8347211699773922
107,3088c17c41bb79cf,No AI,A,Accuracy,1.0,P1,-1.0046943186026525
108,8c09cd568a2f07d6,GPT 01,B,Accuracy,2.0,P1,-1.164164359706397
109,8944194b2121b319,GPT 01,B,Accuracy,2.0,P1,-0.3487724363505114
110,75bfae39ea7d8d5b,GPT 01,B,Accuracy,3.0,P1,0.6533035312259791
111,17ca821110ac1fa2,Vincent,C,Accuracy,4.0,P1,0.24967175643109654
112,422317341c3e815e,GPT 01,B,Accuracy,5.0,P1,-0.5229487675817861
113,e74d00befb08510a,GPT 01,B,Accuracy,2.0,P1,-0.3428477301976709
114,d64f01781e54567f,GPT 01,B,Accuracy,2.0,P1,0.38216452412433277
115,0fa325208d547822,GPT 01,B,Accuracy,1.0,P1,0.6519869298586811
116,d1082f98da60718d,GPT 01,B,Accuracy,2.0,P1,-0.7056830077004972
117,f91d96f422d5707e,No AI,A,Accuracy,2.0,P1,-0.35095943751371733
118,05c223da1342eb22,GPT 01,B,Accuracy,3.0,P1,0.3801896220733859
119,15947270bb099c07,No AI,A,Accuracy,6.0,P1,0.7825899055849773
120,eb0657499c70202f,No AI,A,Accuracy,6.0,P1,0.4988959079018984
121,0534f6d47f4a21f6,Vincent,C,Accuracy,2.0,P1,0.8811938561532605
122,11d471df43205dfb,Vincent,C,Accuracy,1.0,P1,-0.5523587216868323
123,e0a9f0ffff131843,Vincent,C,Accuracy,5.0,P1,1.1933948630685225
124,b0eea11d8aa104e7,Vincent,C,Accuracy,4.0,P1,-0.6140533738497499
125,d8bb952342c588bb,GPT 01,B,Accuracy,2.0,P1,-0.44988990807976836
126,bf1a26353df9965e,GPT 01,B,Accuracy,5.0,P1,-0.25378466253108667
127,09c545b24ffb476e,No AI,A,Accuracy,4.0,P1,0.7505164853473411
128,a40efe211e46e49a,No AI,A,Accuracy,4.0,P1,0.06348153638714865
129,7384d11c263ac7d9,No AI,A,Accuracy,3.0,P1,0.25960200071382916
130,9e2e00fa7c285ff5,Vincent,C,Accuracy,3.0,P1,-0.8899831386873962
131,eab55a7284651fe8,Vincent,C,Accuracy,2.0,P1,0.5364493532610568
132,fc7f934bbaf5bcc5,Vincent,C,Accuracy,2.0,P1,-0.14219182053103688
133,eb6be2f6ae0e29b1,Vincent,C,Accuracy,3.0,P1,-0.12761624243804898
134,98bd1346a5fce77b,GPT 01,B,Accuracy,1.0,P1,0.6546201325932769
135,c1f9916910cd4128,Vincent,C,Analysis,2.0,P1,-0.13134398853872298
136,7316aefcd59a0b74,No AI,A,Analysis,2.0,P1,-0.6013533673255389
137,1167a8417b14a001,No AI,A,Analysis,6.0,P1,0.9133368818027643
138,5eb1b92aee244e2a,No AI,A,Analysis,2.0,P1,0.18435513761480438
139,065a189f3e847a38,No AI,A,Analysis,4.0,P1,0.3903489769316162
140,865d47f31de717c9,Vincent,C,Analysis,2.0,P1,-0.18591855481000075
141,1777a66aff697497,Vincent,C,Analysis,5.0,P1,-0.1821908087093267
142,6ec4e59da50d8f3a,GPT 01,B,Analysis,3.0,P1,-0.25312636184743775
143,4fdc1cc6f372410e,No AI,A,Analysis,6.0,P1,0.3570489090603589
144,ddbc5bb6018f9e0f,Vincent,C,Analysis,4.0,P1,-0.7374426781755852
145,1bcba07e11b7af99,GPT 01,B,Analysis,5.0,P1,0.6579116360115216
146,4c56c0d8e61ed412,Vincent,C,Analysis,7.0,P1,1.1571236209909068
147,3d53c1b0295b9a26,No AI,A,Analysis,3.0,P1,-0.06726543983063839
148,544af5e3f23bd87a,GPT 01,B,Analysis,3.0,P1,0.8347211699773922
149,f3ca044a6fc18861,Vincent,C,Analysis,3.0,P1,
150,ad4e0a23d55a9bc2,Vincent,C,Analysis,5.0,P1,-0.24015771477157025
151,9109b13b11fd7782,No AI,A,Analysis,5.0,P1,0.18312848998118322
152,6a370e860ed24357,Vincent,C,Analysis,5.0,P1,0.9611918325098401
153,5c031f15ede898cb,Vincent,C,Analysis,4.0,P1,
154,13b6a1020ad46272,GPT 01,B,Analysis,3.0,P1,-1.9769230803276874
155,7c4f2cdf9a7ba025,GPT 01,B,Analysis,6.0,P1,-1.7038091711750942
156,c55ed9175b0738c2,GPT 01,B,Analysis,5.0,P1,1.538462810665638
157,e0586dd6ba414274,No AI,A,Analysis,4.0,P1,0.06348153638714865
158,7e107a9c0ebdc482,Vincent,C,Analysis,7.0,P1,1.6398330063019337
159,2bfdab79d93e7bce,GPT 01,B,Analysis,3.0,P1,-0.7960626767343792
160,f4534ca99db52354,GPT 01,B,Analysis,2.0,P1,
161,889b30f2a988ff0a,GPT 01,B,Analysis,5.0,P1,0.02064584798880434
162,efbfc0f029c0ac5f,Vincent,C,Analysis,4.0,P1,-0.11304066434506099
163,1532b47abfa256d4,GPT 01,B,Analysis,2.0,P1,-0.7069996090677951
164,824bb66524753233,Vincent,C,Analysis,6.0,P1,-1.4198115980683528
165,f89651d646f1ab95,No AI,A,Analysis,5.0,P1,0.5210959531494033
166,02a6298460b477ce,GPT 01,B,Analysis,2.0,P1,0.47254419315821483
167,3b79cd5d4dc9545c,Vincent,C,Analysis,4.0,P1,-0.26558112485687213
168,81703482b559611e,GPT 01,B,Analysis,2.0,P1,0.017354344570559593
169,8b3794f02b5e4db5,Vincent,C,Analysis,5.0,P1,-0.3272757770197897
170,79d436c6314eda33,No AI,A,Analysis,3.0,P1,-0.35095943751371733
171,9be12b158467797d,Vincent,C,Analysis,5.0,P1,-0.16761523061633873
172,820ef4cb24626154,GPT 01,B,Analysis,7.0,P1,0.5635821628757459
173,b342e13cf1dcabea,Vincent,C,Analysis,4.0,P1,-0.4181215853686832
174,bfd51df7115d0bee,GPT 01,B,Analysis,5.0,P1,0.4758356965764596
175,8fd8eb1d02d74b73,No AI,A,Analysis,2.0,P1,0.16215509236729947
176,60f4a10cf0e76952,No AI,A,Analysis,4.0,P1,0.8923634841888806
177,f7b9fdfc04c988ab,No AI,A,Analysis,3.0,P1,-0.8529739447709817
178,446f96dc3003002c,No AI,A,Analysis,6.0,P1,0.8479633936938707
179,d2aff30970fe0d4c,Vincent,C,Analysis,6.0,P1,-0.38557808939174154
180,7f1b0f735e644984,GPT 01,B,Analysis,4.0,P1,1.0174554100961033
181,742df284c8614f30,Vincent,C,Analysis,3.0,P1,-1.1404894934397407
182,9ee9f3b5b5934e01,GPT 01,B,Analysis,1.0,P1,-1.2512525253220346
183,af90ee0cf16ffd33,Vincent,C,Analysis,6.0,P1,-0.3018523669344879
184,ce5032424903d61d,GPT 01,B,Analysis,3.0,P1,-0.43586060196614884
185,1d27419a27bc132a,GPT 01,B,Analysis,5.0,P1,-0.25180976048013987
186,68c3cbbda9ab9909,GPT 01,B,Analysis,3.0,P1,-0.250493159112842
187,475d59d3b81d4bac,No AI,A,Analysis,2.0,P1,-0.524879856592893
188,ef03ab8ccbaa668b,Vincent,C,Analysis,3.0,P1,
189,dd5b4506ccb8edff,GPT 01,B,Analysis,2.0,P1,0.29244315577409963
190,2cd520fd07667404,GPT 01,B,Analysis,2.0,P1,0.8334045686100943
191,e5515ac0c0f126c6,No AI,A,Analysis,1.0,P1,-0.2300858362860616
192,7eb33ecb29043786,GPT 01,B,Analysis,5.0,P1,0.7436832002598611
193,7d228f6d656337bb,GPT 01,B,Analysis,1.0,P1,0.3828228248079817
194,cdb181d570ee13d8,No AI,A,Analysis,2.0,P1,0.24972862572369792
195,1a20cabcd1a8d41b,Vincent,C,Analysis,6.0,P1,
196,e58dc153e9c0e8e4,Vincent,C,Analysis,5.0,P1,-0.7520182562685731
197,f719e16be770c0b8,No AI,A,Analysis,1.0,P1,0.04250813877326487
198,43f61b7cd08cc6c4,Vincent,C,Analysis,5.0,P1,1.1679714529832208
199,078cae7e345937f3,No AI,A,Analysis,4.0,P1,0.5432959983969081
200,8a1109561512c218,Vincent,C,Analysis,4.0,P1,-0.4289694173609971
201,f418aa093c4203e9,No AI,A,Analysis,1.0,P1,-0.8517472971373605
202,2657ee4bf9f4af9e,GPT 01,B,Analysis,5.0,P1,0.6519869298586811
203,aa1baebc4a1d7593,Vincent,C,Analysis,6.0,P1,0.4384834590205234
204,191cebe1180b87c5,GPT 01,B,Analysis,4.0,P1,-1.2525691266893324
205,66f7ab8e6000f22a,No AI,A,Analysis,3.0,P1,-0.6124533899492913
206,61cf76867144f7f2,Vincent,C,Analysis,2.0,P1,0.22424834634579466
207,8a8a16cd60695e63,Vincent,C,Analysis,3.0,P1,0.8703460241609466
208,8917388e20196b3b,No AI,A,Analysis,4.0,P1,1.0231104604066676
209,8b9bdb0a143ba05b,Vincent,C,Analysis,3.0,P1,-1.3255734499284935
210,97fba5cb44daf59a,No AI,A,Analysis,5.0,P1,-0.38425950538497466
211,8873cf8f31074e16,No AI,A,Analysis,3.0,P1,-0.9837209209887687
212,724b54dabebd5f65,No AI,A,Analysis,4.0,P1,0.2169211196340559
213,4b83c41e5327c306,GPT 01,B,Analysis,3.0,P1,
214,430c3b797887e240,No AI,A,Analysis,2.0,P1,-2.8487053035426655
215,33801e2d42ffddfc,No AI,A,Analysis,3.0,P1,0.06348153638714865
216,7dd7e803832f1b53,GPT 01,B,Analysis,2.0,P1,0.01801264525420855
217,8e8ec402ff41e278,No AI,A,Analysis,4.0,P1,0.3903489769316162
218,29041031c3d5738c,Vincent,C,Analysis,5.0,P1,-1.045915938990173
219,1f60b1ad89313d0d,GPT 01,B,Analysis,4.0,P1,1.5617083263503426
220,421124a6a4ec2792,GPT 01,B,Analysis,2.0,P1,-1.5243664344746277
221,26f3d54698dd2636,GPT 01,B,Analysis,2.0,P1,-0.7023915042822525
222,f3e93859c85d9caf,No AI,A,Analysis,1.0,P1,-0.8739473423848654
223,7fb6a95e77f2886e,No AI,A,Analysis,2.0,P1,-0.0339653719593811
224,069503ef9c782673,GPT 01,B,Analysis,3.0,P1,0.8353794706610411
225,4145e4dd01e45431,No AI,A,Analysis,5.0,P1,0.23740195546632428
226,a6a04fd22939f38a,GPT 01,B,Analysis,3.0,P1,-1.4313535627061498
227,237698639e9c4d30,No AI,A,Analysis,5.0,P1,0.5864694412582967
228,2da3540d563c6034,No AI,A,Analysis,6.0,P1,0.7825899055849773
229,70204533c2ea64a7,Vincent,C,Analysis,3.0,P1,
230,f9afd8e31ee8a875,No AI,A,Analysis,4.0,P1,-0.44963299349386815
231,e08dd06e4e008462,Vincent,C,Analysis,3.0,P1,-0.06592159027513134
232,5e4dc1276a5cbfd1,Vincent,C,Analysis,2.0,P1,-0.07676942226744521
233,de22252a67fcc399,Vincent,C,Analysis,5.0,P1,1.3567831555726477
234,c93c749489f4cc74,No AI,A,Analysis,6.0,P1,0.7061163948523312
235,63f3737ed386432b,GPT 01,B,Analysis,5.0,P1,1.3776574848643337
236,22357cb4b713c556,No AI,A,Analysis,5.0,P1,-0.2535125291671876
237,632e8584adc40b35,Vincent,C,Analysis,4.0,P1,0.18797710426817896
238,b066caa360c869a0,No AI,A,Analysis,2.0,P1,-0.3287593922662124
239,eb817297c2e6d83a,Vincent,C,Analysis,5.0,P1,1.0337343166650717
240,17a215d736ecc60d,GPT 01,B,Analysis,3.0,P1,1.0167971094124544
241,69d5d27764fbbaac,GPT 01,B,Analysis,5.0,P1,0.8347211699773922
242,3088c17c41bb79cf,No AI,A,Analysis,1.0,P1,-1.0046943186026525
243,8c09cd568a2f07d6,GPT 01,B,Analysis,3.0,P1,-1.164164359706397
244,8944194b2121b319,GPT 01,B,Analysis,3.0,P1,-0.3487724363505114
245,75bfae39ea7d8d5b,GPT 01,B,Analysis,5.0,P1,0.6533035312259791
246,17ca821110ac1fa2,Vincent,C,Analysis,5.0,P1,0.24967175643109654
247,422317341c3e815e,GPT 01,B,Analysis,5.0,P1,-0.5229487675817861
248,e74d00befb08510a,GPT 01,B,Analysis,2.0,P1,-0.3428477301976709
249,d64f01781e54567f,GPT 01,B,Analysis,2.0,P1,0.38216452412433277
250,0fa325208d547822,GPT 01,B,Analysis,2.0,P1,0.6519869298586811
251,d1082f98da60718d,GPT 01,B,Analysis,3.0,P1,-0.7056830077004972
252,f91d96f422d5707e,No AI,A,Analysis,3.0,P1,-0.35095943751371733
253,05c223da1342eb22,GPT 01,B,Analysis,4.0,P1,0.3801896220733859
254,15947270bb099c07,No AI,A,Analysis,6.0,P1,0.7825899055849773
255,eb0657499c70202f,No AI,A,Analysis,5.0,P1,0.4988959079018984
256,0534f6d47f4a21f6,Vincent,C,Analysis,3.0,P1,0.8811938561532605
257,11d471df43205dfb,Vincent,C,Analysis,2.0,P1,-0.5523587216868323
258,e0a9f0ffff131843,Vincent,C,Analysis,5.0,P1,1.1933948630685225
259,b0eea11d8aa104e7,Vincent,C,Analysis,4.0,P1,-0.6140533738497499
260,d8bb952342c588bb,GPT 01,B,Analysis,2.0,P1,-0.44988990807976836
261,bf1a26353df9965e,GPT 01,B,Analysis,6.0,P1,-0.25378466253108667
262,09c545b24ffb476e,No AI,A,Analysis,5.0,P1,0.7505164853473411
263,a40efe211e46e49a,No AI,A,Analysis,5.0,P1,0.06348153638714865
264,7384d11c263ac7d9,No AI,A,Analysis,5.0,P1,0.25960200071382916
265,9e2e00fa7c285ff5,Vincent,C,Analysis,5.0,P1,-0.8899831386873962
266,eab55a7284651fe8,Vincent,C,Analysis,3.0,P1,0.5364493532610568
267,fc7f934bbaf5bcc5,Vincent,C,Analysis,2.0,P1,-0.14219182053103688
268,eb6be2f6ae0e29b1,Vincent,C,Analysis,3.0,P1,-0.12761624243804898
269,98bd1346a5fce77b,GPT 01,B,Analysis,4.0,P1,0.6546201325932769
270,c1f9916910cd4128,Vincent,C,Organization,3.0,P1,-0.13134398853872298
271,7316aefcd59a0b74,No AI,A,Organization,2.0,P1,-0.6013533673255389
272,1167a8417b14a001,No AI,A,Organization,7.0,P1,0.9133368818027643
273,5eb1b92aee244e2a,No AI,A,Organization,2.0,P1,0.18435513761480438
274,065a189f3e847a38,No AI,A,Organization,5.0,P1,0.3903489769316162
275,865d47f31de717c9,Vincent,C,Organization,4.0,P1,-0.18591855481000075
276,1777a66aff697497,Vincent,C,Organization,4.0,P1,-0.1821908087093267
277,6ec4e59da50d8f3a,GPT 01,B,Organization,4.0,P1,-0.25312636184743775
278,4fdc1cc6f372410e,No AI,A,Organization,6.0,P1,0.3570489090603589
279,ddbc5bb6018f9e0f,Vincent,C,Organization,4.0,P1,-0.7374426781755852
280,1bcba07e11b7af99,GPT 01,B,Organization,6.0,P1,0.6579116360115216
281,4c56c0d8e61ed412,Vincent,C,Organization,7.0,P1,1.1571236209909068
282,3d53c1b0295b9a26,No AI,A,Organization,3.0,P1,-0.06726543983063839
283,544af5e3f23bd87a,GPT 01,B,Organization,4.0,P1,0.8347211699773922
